"","frcstweekdate","Avg_PredictSales","Low_PredictSales","High_PredictSales"
"1","2018-43",248,80,415
"2","2018-44",263,84,443
"3","2018-45",269,88,450
"4","2018-46",271,90,453
"5","2018-47",272,91,454
"6","2018-48",273,91,454
"7","2018-49",273,92,454
"8","2018-50",273,92,454
"9","2018-51",273,92,454
"10","2018-52",273,92,454
